timestamp|title|url|keywordFound|group
2019-05-25T22:12:48.340Z|Yahoo|https://www.yahoo.com|false|0
2019-05-25T22:12:50.459Z|Long Sex Scene Prompts Cannes' Critics to Walk Out of Explicit Film: 'Male Gazing Garbage'|https://www.yahoo.com/entertainment/long-sex-scene-prompts-cannes-165034810.html|false|1
2019-05-25T22:12:50.868Z|Yahoo Mail|https://mail.yahoo.com/?.intl=us&.lang=en-US&.partner=none&.src=entertainment|false|2
2019-05-25T22:12:58.317Z|‎Yahoo Mail - Organized Email on the App Store|https://app.appsflyer.com/id577586159?pid=yahoo_admanager_plus_int&c=NorrinLaunch_Mar17&af_sub1=Internal&af_sub2=Mobile_Upsell_YMktg&af_sub3=Landing_Page_Mobile_Upsell&pbd=${POSTBACKDATA}&idfa=${IDFA}|false|3
2019-05-25T22:12:59.537Z|‎Yahoo Mail - Organized Email on the App Store|https://app.appsflyer.com/id577586159?pid=yahoo_admanager_plus_int&c=NorrinLaunch_Mar17&af_sub1=Internal&af_sub2=Mobile_Upsell_YMktg&af_sub3=Landing_Page_Mobile_Upsell&pbd=${POSTBACKDATA}&idfa=${IDFA}//www.apple.com/tv/|false|4
2019-05-25T22:13:01.748Z|‎Yahoo Mail - Organized Email on the App Store|https://app.appsflyer.com/id577586159?pid=yahoo_admanager_plus_int&c=NorrinLaunch_Mar17&af_sub1=Internal&af_sub2=Mobile_Upsell_YMktg&af_sub3=Landing_Page_Mobile_Upsell&pbd=${POSTBACKDATA}&idfa=${IDFA}//www.apple.com/tv/US/app/id577586159#?platform=iphone|false|5
2019-05-25T22:13:02.779Z|‎Email - Edison Mail on the App Store|https://itunes.apple.com/us/app/email-edison-mail/id922793622?mt=8|false|6
2019-05-25T22:13:04.212Z|‎Email - Edison Mail on the App Store|https://itunes.apple.com/us/app/email-edison-mail/id922793622?mt=8//www.apple.com/retail/|false|7
2019-05-25T22:13:05.149Z|App Store - Apple|https://www.apple.com/ios/app-store/|false|8
2019-05-25T22:13:06.330Z|Page Not Found - Apple|https://www.apple.com/ios/app-store/ios/|false|9
